,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,latitude,longitude,Zona,fl_intermodalidade,fl_lte_5_km_estacao,fl_lte_5_km_pontos_turisticos,entire_home_apt_private_room_roteiro_turistico,acomodacao_alta_experiencia
20773,Entire home/apt,4,2,2,0,1004.0,6,4.67,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
20774,Entire home/apt,5,1,1,2,386.0,17,4.88,-22.9711394,-43.4311836,Zona Oeste,0,0,0,0,1
20775,Entire home/apt,2,1,1,1,721.0,3,4.67,-22.9339841,-43.1745744,Zona Sul,1,1,1,1,1
20776,Private room,2,1,1,1,200.0,1,4.812309491059147,-23.0185151,-43.4634021,Zona Oeste,0,0,0,0,1
20777,Entire home/apt,6,2,2,3,1100.0,1,4.812309491059147,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20778,Entire home/apt,4,1,1,2,1206.0,22,4.91,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
20779,Private room,3,2,1,1,350.0,1,4.812309491059147,-23.0185151,-43.4634021,Zona Oeste,0,0,0,0,1
20780,Entire home/apt,7,4,3,6,1682.0,40,4.98,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
20781,Entire home/apt,4,1,1,1,900.0,3,5.0,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
20782,Entire home/apt,2,1,1,0,729.0,31,4.94,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20783,Entire home/apt,6,1,2,3,1500.0,1,5.0,-22.9339841,-43.1745744,Zona Sul,1,1,1,1,1
20784,Entire home/apt,3,1,1,1,816.0,1,4.812309491059147,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20785,Entire home/apt,6,1,1,4,1584.0,28,4.93,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
20786,Entire home/apt,6,2,3,4,1041.0,35,4.97,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
20787,Entire home/apt,4,1,1,1,955.0,15,4.93,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20788,Entire home/apt,4,1,1,2,849.0,27,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20789,Entire home/apt,4,2,1,2,578.0,33,4.88,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
20790,Entire home/apt,3,1,1,3,343.0,1,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20791,Entire home/apt,3,1,1,2,518.0,18,4.94,-22.9515096,-43.1862969,Zona Sul,1,1,1,1,1
20792,Entire home/apt,3,1,1,1,597.0,32,4.72,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20793,Entire home/apt,7,1,1,2,357.0,24,4.75,-23.0185151,-43.4634021,Zona Oeste,0,0,0,0,1
20794,Entire home/apt,2,1,1,1,466.0,4,5.0,-22.9215542,-43.1860269,Centro,1,1,1,1,1
20795,Entire home/apt,8,2,3,4,1750.0,1,4.812309491059147,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20796,Entire home/apt,4,2,1,1,700.0,18,4.67,-22.961704,-43.1669042,Zona Sul,1,1,1,1,1
20797,Entire home/apt,3,1,1,1,460.0,8,4.88,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20798,Entire home/apt,2,1,1,1,251.0,10,4.6,-22.2800004,-42.5325303,Centro,0,0,0,0,1
20799,Entire home/apt,4,2,2,2,2299.0,1,4.812309491059147,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20800,Entire home/apt,16,5,4,0,1471.0,1,4.812309491059147,-22.9905839,-43.584923,Zona Oeste,0,0,0,0,1
20801,Entire home/apt,3,1,1,2,1186.0,22,4.91,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20802,Entire home/apt,4,1,1,2,1429.0,8,5.0,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
20803,Entire home/apt,2,1,1,1,386.0,2,4.5,-22.9215542,-43.1860269,Centro,1,1,1,1,1
20804,Entire home/apt,3,2,2,2,600.0,7,4.86,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20805,Entire home/apt,4,1,0,2,539.0,24,4.83,-22.2800004,-42.5325303,Centro,0,0,0,0,1
20806,Entire home/apt,3,2,1,1,350.0,3,4.67,-22.2800004,-42.5325303,Centro,0,0,0,0,1
20807,Entire home/apt,4,2,2,2,2000.0,1,4.812309491059147,-22.9546413,-43.2004797,Zona Sul,1,1,1,1,1
20808,Entire home/apt,2,1,1,1,1090.0,31,4.84,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
